filename,class,truncated,occluded,observation angle,xmin,ymin,xmax,ymax,height,width,length,xloc,yloc,zloc,rot_y,depth_y,depth_min,depth_mean,depth_x,depth_median,depth_max,depth_mean_trim
006462.png,car,0.0,3,1.85,11.04,195.63,274.14,360.83,165.2,263.09999999999997,3.72,-5.31,1.76,8.68,1.31,359,0.90153843,1.1232859,271,1.0154148,3.0067983,1.0519618
001663.png,car,0.0,0,-0.88,666.96,173.88,742.09,208.39,34.50999999999999,75.13,3.54,4.43,1.59,33.8,-0.75,207,4.1301646,4.8194885,741,4.5259213,8.525224,4.5356545
002813.png,bicycle,0.0,0,-1.92,863.95,155.25,895.88,201.49,46.24000000000001,31.92999999999995,2.17,11.22,1.16,30.12,-1.57,200,3.7817883,4.660724,881,4.519652,5.912982,4.586542
000621.png,car,0.0,1,1.89,523.19,185.76,578.93,221.55,35.79000000000002,55.739999999999895,3.6,-2.76,2.19,34.09,1.81,220,2.8717897,4.2685657,523,4.2174835,9.211125,4.203511
004312.png,bicycle,0.0,0,1.58,577.98,169.47,584.32,186.16,16.689999999999998,6.340000000000032,1.69,-2.8,1.28,69.89,1.54,185,8.215974,9.371638,583,9.57128,9.817224,9.486541
001801.png,car,0.0,0,-1.8,641.46,176.48,683.3,205.51,29.03,41.83999999999992,3.38,2.81,1.73,39.75,-1.73,198,4.5967975,5.422262,660,5.014678,8.8402605,5.1118016
004173.png,car,0.0,1,1.75,447.85,187.37,476.69,206.34,18.97,28.839999999999975,4.16,-11.84,2.61,57.93,1.55,205,3.8454776,7.572214,452,7.8022156,9.161589,7.7916236
000293.png,car,0.2,3,2.04,0.0,191.75,403.27,374.0,182.25,403.27,3.77,-3.47,1.72,6.93,1.59,372,0.61987096,0.9071032,114,0.8421451,3.47601,0.83786505
003408.png,car,0.0,0,1.64,517.11,173.82,558.83,208.11,34.29000000000002,41.72000000000003,3.58,-3.09,1.44,31.11,1.54,198,3.940198,4.6436405,543,4.149306,9.379808,4.1657214
005026.png,car,0.82,0,-1.11,0.0,184.45,398.14,374.0,189.55,398.14,4.41,-2.69,1.56,4.45,-1.63,336,0.32960188,0.6531164,0,0.5617714,2.3395805,0.57626027
002195.png,car,0.0,1,-1.48,528.13,171.91,571.35,206.71,34.80000000000001,43.22000000000003,3.36,-2.19,1.02,31.04,-1.55,204,3.8017092,4.8025885,528,3.9703598,8.848176,3.7251215
003296.png,bicycle,0.0,0,-0.13,635.21,164.89,669.48,198.96,34.07000000000002,34.26999999999998,1.82,2.64,1.01,39.42,-0.06,167,4.360617,5.797435,647,4.8272824,9.83595,5.0740275
002983.png,car,0.9,0,2.37,0.0,159.58,74.89,321.32,161.73999999999998,74.89,4.33,-9.09,1.99,8.84,1.59,320,1.119018,1.5347124,73,1.2624466,3.3451734,1.3192819
002476.png,car,0.0,0,-1.38,289.91,195.62,404.78,269.78,74.15999999999997,114.86999999999995,3.6,-5.67,1.89,15.87,-1.72,227,1.8676795,2.1691973,333,1.9919658,3.9418492,2.0276082
