filename,class,xmin,ymin,xmax,ymax,observation angle,xloc,yloc,zloc
000000.png,Pedestrian,712.4,143.0,810.73,307.92,-0.2,1.84,1.47,8.41
000001.png,Truck,599.41,156.4,629.75,189.25,-1.57,0.47,1.49,69.44
000001.png,Car,387.63,181.54,423.81,203.12,1.85,-16.53,2.39,58.49
000001.png,Cyclist,676.6,163.95,688.98,193.93,-1.65,4.59,1.32,45.84
000002.png,Misc,804.79,167.34,995.43,327.94,-1.82,3.23,1.59,8.55
000002.png,Car,657.39,190.13,700.07,223.39,-1.67,3.18,2.27,34.38
000004.png,Car,365.14,184.54,406.11,205.2,1.88,-15.89,2.23,51.17
000005.png,Pedestrian,330.06,178.74,360.77,238.64,1.94,-8.5,2.07,23.02
000006.png,Car,505.25,168.37,575.44,209.18,-1.21,-2.61,1.13,31.73
000006.png,Car,49.7,185.65,227.42,246.96,0.15,-12.54,1.64,19.72
000006.png,Car,328.67,170.65,397.24,204.16,2.05,-12.66,1.13,38.44
000007.png,Car,564.62,174.59,616.43,224.74,-1.56,-0.69,1.69,25.01
000007.png,Car,481.59,180.09,512.55,202.42,1.71,-7.43,1.88,47.55
000007.png,Cyclist,330.6,176.09,355.61,213.6,1.89,-12.63,1.88,34.09
000008.png,Car,0.0,192.37,402.31,374.0,-0.69,-2.7,1.74,3.68
000008.png,Car,334.85,178.94,624.5,372.04,2.04,-1.17,1.65,7.86
000008.png,Car,937.29,197.39,1241.0,374.0,-1.84,3.81,1.64,6.15
000008.png,Car,884.52,178.31,956.41,240.18,-1.65,8.48,1.75,19.96
000009.png,Car,601.96,177.01,659.15,229.51,-1.5,0.7,1.76,23.88
000009.png,Car,600.14,177.09,624.65,193.31,1.75,0.24,1.84,66.37
000009.png,Car,574.98,178.64,598.45,194.01,1.78,-2.19,1.96,68.25
000010.png,Car,354.43,185.52,549.52,294.49,1.95,-2.39,1.66,11.8
000010.png,Pedestrian,859.54,159.8,879.68,221.4,1.41,8.33,1.55,23.51
000010.png,Car,819.63,178.12,926.85,251.56,-1.78,5.85,1.64,16.5
000010.png,Car,800.54,178.06,878.75,230.56,-1.69,6.87,1.62,22.05
000010.png,Car,558.55,179.04,635.05,230.61,1.8,-0.38,1.76,23.64
000010.png,Car,598.3,178.68,652.25,218.17,1.77,0.64,1.74,29.07
000010.png,Car,784.59,178.04,839.98,220.1,-1.67,7.88,1.75,28.53
000010.png,Car,663.74,175.36,707.21,204.15,1.92,4.5,1.8,42.85
000011.png,Pedestrian,883.68,144.15,937.35,259.01,0.3,5.06,1.43,12.42
000011.png,Pedestrian,873.7,152.1,933.44,256.07,0.29,5.42,1.5,13.43
000011.png,Car,444.29,171.04,504.95,225.82,1.74,-4.95,1.83,26.64
000011.png,Pedestrian,649.28,168.1,664.61,206.4,-0.39,2.2,1.57,34.08
000011.png,Car,0.0,217.12,85.92,374.0,2.42,-5.12,1.85,4.13
000011.png,Pedestrian,240.35,190.31,268.02,261.61,2.02,-7.92,1.94,15.95
000012.png,Car,662.2,185.85,690.21,205.03,-1.84,5.35,2.56,58.84
000012.png,Van,448.07,177.14,481.6,206.41,1.7,-13.02,2.91,65.02
000013.png,Car,455.7,183.86,533.81,241.91,1.74,-3.16,1.77,20.13
000014.png,Car,626.59,176.07,654.95,194.24,1.73,2.57,1.72,59.81
000015.png,Car,0.0,194.7,414.71,373.0,2.29,-2.75,1.7,4.1
000015.png,Pedestrian,1021.76,133.28,1101.39,316.63,0.71,4.75,1.33,7.59
000015.png,Pedestrian,537.84,168.08,560.9,224.34,-1.46,-1.79,1.36,23.3
000016.png,Car,661.23,174.85,694.38,197.63,-1.45,4.19,1.46,44.41
000016.png,Truck,125.12,91.71,474.04,253.26,2.11,-9.48,2.08,26.41
000016.png,Car,684.49,172.19,733.85,205.26,-1.4,4.58,1.41,33.13
000016.png,Car,0.0,193.56,386.2,374.0,-0.72,-3.67,1.67,6.05
000016.png,Car,494.45,181.84,527.48,205.27,1.82,-6.41,2.04,46.74
000016.png,Tram,587.32,158.63,648.66,188.51,1.2,0.75,1.91,90.96
000017.png,Car,728.25,173.97,791.57,200.2,-2.23,9.71,1.73,47.16
000018.png,Car,523.41,194.53,550.65,219.39,-1.59,-4.82,2.9,47.02
000018.png,Van,572.15,185.81,606.45,219.24,-1.68,-1.42,2.89,47.11
000018.png,Tram,387.26,166.06,473.51,213.36,1.27,-15.22,3.07,59.75
000019.png,Truck,0.0,0.0,424.74,374.0,2.07,-3.17,1.77,5.46
000019.png,Car,742.41,184.49,944.56,321.39,-1.81,2.84,1.63,9.72
000019.png,Van,639.17,169.69,683.48,212.97,-1.64,2.42,1.86,35.34
000020.png,Car,685.05,181.43,804.68,258.21,-1.77,2.69,1.6,15.58
000021.png,Cyclist,1056.16,190.5,1241.0,374.0,-2.22,2.75,1.68,3.14
000021.png,Car,359.43,179.3,516.3,270.97,1.9,-3.03,1.57,13.3
000021.png,Car,444.13,163.92,559.2,247.04,1.82,-2.52,1.61,17.6
000021.png,Van,870.59,115.22,1101.06,213.85,-0.47,10.9,1.13,21.3
000021.png,Car,724.49,171.09,790.5,215.13,-1.72,5.18,1.42,25.97
000021.png,Car,534.25,166.2,596.08,216.76,1.74,-1.62,1.53,26.83
000021.png,Car,709.81,162.43,765.7,205.68,-1.69,5.57,1.38,32.13
000022.png,Car,128.66,199.48,218.9,237.2,-1.11,-19.08,2.65,31.72
000022.png,Car,60.72,198.17,159.92,238.35,-1.04,-21.79,2.69,31.61
000023.png,Truck,599.21,156.67,629.63,189.6,-1.57,0.42,1.52,69.29
000023.png,Car,372.95,182.64,412.21,205.68,1.86,-16.57,2.43,55.08
000023.png,Cyclist,677.94,164.64,690.85,195.36,-1.66,4.58,1.37,44.76
000024.png,Car,517.23,162.98,564.36,196.64,-1.73,-3.47,0.53,36.37
000024.png,Car,443.6,168.03,480.35,195.69,-1.67,-7.78,0.51,38.09
000024.png,Car,427.54,165.14,455.37,185.51,-1.65,-12.08,0.0,52.01
000025.png,Car,896.11,218.17,1241.0,374.0,-2.1,2.43,1.68,3.14
000025.png,Car,351.84,183.19,537.77,308.64,-1.29,-2.21,1.63,10.42
000025.png,Car,562.48,173.46,618.49,217.36,1.75,-0.78,1.75,30.18
000025.png,Car,724.21,178.91,805.39,249.94,-1.69,3.64,1.75,17.48
000025.png,Cyclist,650.19,175.43,659.99,205.2,1.6,2.77,1.98,44.63
000025.png,Car,720.81,187.01,779.98,236.22,-1.62,4.23,1.83,22.3
000026.png,Truck,633.9,155.08,704.57,211.64,1.8,3.16,1.86,37.22
000026.png,Car,555.45,174.38,576.17,191.19,-1.67,-4.22,1.7,68.34
000027.png,Van,16.35,117.65,314.78,314.78,2.06,-7.39,1.99,12.9
000027.png,Car,590.88,181.6,607.07,194.48,-1.58,-1.15,2.16,73.46
000028.png,Pedestrian,147.29,156.22,205.29,309.43,-2.45,-5.18,1.48,8.51
000029.png,Misc,490.15,174.98,542.09,227.7,1.8,-3.03,1.7,23.25
000029.png,Car,652.31,174.94,690.16,204.97,-1.71,3.46,1.78,41.53
000030.png,Car,559.66,178.84,588.85,204.88,1.58,-2.08,1.78,41.9
000031.png,Car,334.28,180.65,490.02,297.48,-1.35,-3.18,1.79,12.2
000031.png,Car,785.85,179.67,1028.82,340.75,-1.93,3.18,1.61,8.46
000031.png,Car,711.98,179.65,848.82,277.62,-1.8,2.9,1.66,13.14
000031.png,Truck,445.91,131.69,539.77,228.36,1.71,-3.48,1.52,22.27
000031.png,Car,660.82,178.72,713.09,222.03,-1.64,2.71,1.69,26.41
000031.png,Van,620.95,171.59,649.36,200.46,-1.62,1.75,1.91,51.9
000032.png,Car,178.19,189.36,435.56,344.73,1.96,-3.49,1.7,9.0
000032.png,Car,776.17,182.37,1014.36,335.44,-1.91,3.09,1.59,8.6
000032.png,Van,340.65,150.97,489.14,274.11,1.8,-3.69,1.71,14.34
000032.png,Car,711.6,180.21,863.08,273.6,-1.79,3.04,1.58,13.47
000032.png,Car,709.49,176.89,777.81,234.26,-1.58,3.6,1.55,19.85
000032.png,Van,119.13,141.28,368.15,230.69,-2.65,-11.4,1.72,22.71
000032.png,Car,725.15,164.18,806.31,219.41,-1.35,5.51,1.5,25.25
000032.png,Van,611.72,163.22,643.8,197.13,-1.61,1.03,1.44,44.71
000032.png,Van,780.93,147.56,917.34,199.48,-0.31,12.82,1.38,39.04
000032.png,Car,494.77,173.81,531.54,199.22,-1.45,-5.97,1.57,44.75
000033.png,Car,582.63,175.1,601.14,189.77,-1.58,-1.64,1.48,64.47
000033.png,Car,0.0,189.66,234.52,322.3,2.17,-7.09,1.75,10.15
000034.png,Car,46.17,196.15,328.4,286.09,0.5,-8.15,2.06,14.12
000034.png,Car,466.96,184.85,522.12,207.02,-2.99,-7.84,2.28,49.04
000035.png,Car,425.44,176.21,529.23,259.84,-1.4,-2.88,1.71,16.31
000035.png,Car,234.86,185.44,320.32,231.58,1.95,-12.69,2.12,27.71
