filename,class,xmin,ymin,xmax,ymax,angle,zloc,weather
000000.png,person,711.87683,151.95032,809.373,308.4902,-0.2,8.41,clone
000001.png,car,390.57785,181.78027,421.47256,200.2452,1.85,58.49,clone
000002.png,car,655.7868,190.24402,698.4817,221.83864,-1.67,34.38,clone
000003.png,car,612.1293,176.14651,729.6654,282.532,1.55,13.22,clone
000004.png,car,283.69547,184.47151,343.1472,211.07599,1.96,38.26,clone
000004.png,car,358.74567,181.2557,406.13916,204.68512,1.88,51.17,clone
000005.png,person,328.06546,180.47014,357.2239,236.74649,1.94,23.02,clone
000006.png,car,553.0209,167.7775,573.42206,183.97064,-1.55,48.22,clone
000006.png,car,506.18176,169.65811,572.9722,209.95207,-1.21,31.73,clone
000006.png,car,31.719006,184.33838,228.39651,244.09059,0.15,19.72,clone
000006.png,car,326.07355,172.63194,401.40225,208.77815,2.05,38.44,clone
000007.png,car,558.3777,173.38986,614.9567,224.15308,-1.56,25.01,clone
000007.png,car,479.75247,179.88145,513.0293,203.44975,1.71,47.55,clone
000007.png,car,541.1984,175.152,565.8871,193.31273,1.64,60.52,clone
000008.png,car,0.98451126,194.07695,391.80258,370.939,-0.69,3.68,clone
000008.png,car,343.83002,179.1238,622.1787,352.21268,2.04,7.86,clone
000008.png,car,948.33887,212.53288,1241.5376,371.23752,-1.84,6.15,clone
000008.png,car,600.4715,178.31694,718.82056,258.36197,-1.33,14.44,clone
000008.png,car,739.9145,167.98279,791.4501,207.60918,1.74,33.2,clone
000009.png,car,599.0473,177.28009,656.06946,226.33041,-1.5,23.88,clone
000009.png,car,600.1066,176.74669,627.59467,191.2955,1.75,66.37,clone
000009.png,car,573.60974,175.82076,599.1289,193.80046,1.78,68.25,clone
000010.png,car,1007.04346,202.5234,1241.9667,370.88535,-2.09,5.2,clone
000010.png,car,365.20853,189.69221,542.3512,288.02002,1.95,11.8,clone
000010.png,car,821.92957,182.23482,927.4956,253.86276,-1.78,16.5,clone
000010.png,car,811.4646,179.45934,863.52386,240.96608,-1.69,22.05,clone
000010.png,car,559.33203,178.31271,636.3998,225.54123,1.8,23.64,clone
000010.png,car,614.3595,179.16777,645.3167,216.89885,1.77,29.07,clone
000010.png,car,797.7956,175.67975,847.2887,226.29889,-1.67,28.53,clone
000010.png,car,663.16113,174.85712,706.16486,202.40251,1.92,42.85,clone
000011.png,person,880.35333,153.69232,931.042,254.54655,0.3,12.42,clone
000011.png,car,443.16293,169.79277,508.0763,225.07957,1.74,26.64,clone
000011.png,person,648.84296,172.01851,664.4614,205.60307,-0.39,34.08,clone
000011.png,car,0.09725556,252.54005,82.565926,373.2488,2.42,4.13,clone
000011.png,person,240.31467,193.86662,271.00034,255.65332,2.02,15.95,clone
000012.png,car,662.4205,184.66377,689.6649,204.05792,-1.84,58.84,clone
000013.png,car,455.7235,184.50987,531.97906,245.67514,1.74,20.13,clone
000014.png,car,626.49963,177.24486,652.09674,194.02434,1.73,59.81,clone
000015.png,car,1.4820094,204.33633,403.36792,371.33084,2.29,4.1,clone
000015.png,person,1012.37744,147.88371,1100.4807,307.0551,0.71,7.59,clone
000015.png,person,666.19464,172.50061,683.3594,220.41449,-1.58,24.14,clone
000015.png,person,694.6714,173.42462,707.61426,197.42549,-1.59,24.22,clone
000015.png,person,543.5572,178.61287,558.71564,216.97372,-1.46,23.3,clone
000016.png,truck,122.42526,96.02646,471.0542,222.77164,2.11,26.41,clone
000016.png,car,0.7992352,200.19957,379.09332,371.25357,-0.72,6.05,clone
000017.png,car,729.6649,173.46208,788.5742,197.62407,-2.23,47.16,clone
000018.png,car,521.4966,192.42976,549.222,215.9113,-1.59,47.02,clone
000019.png,truck,1.1240743,25.777414,423.9183,371.8459,2.07,5.46,clone
000019.png,car,748.0116,184.87988,936.30023,308.32635,-1.81,9.72,clone
000019.png,car,627.6192,170.3766,684.79596,215.04683,-1.64,35.34,clone
000019.png,car,546.3456,182.40796,576.4696,203.62025,-1.48,59.59,clone
000020.png,car,680.56433,180.88687,800.57166,260.18295,-1.77,15.58,clone
000021.png,car,363.50256,179.42657,513.7782,268.65427,1.9,13.3,clone
000021.png,car,467.5105,164.49544,556.2716,240.92184,1.82,17.6,clone
000021.png,car,723.83673,170.71045,787.55347,213.1066,-1.72,25.97,clone
000021.png,car,545.7092,171.38435,590.0602,214.62111,1.74,26.83,clone
000021.png,car,704.23175,161.08571,759.1504,205.76886,-1.69,32.13,clone
000021.png,car,560.29987,167.58615,600.9946,201.53812,1.69,31.78,clone
000022.png,car,130.36061,196.42032,218.07506,234.42279,-1.11,31.72,clone
000022.png,car,91.30881,188.78351,148.0574,220.68489,-1.04,31.61,clone
000023.png,car,377.254,182.41711,410.02402,202.29831,1.86,55.08,clone
000024.png,car,514.97394,165.56886,561.4559,199.145,-1.73,36.37,clone
000024.png,car,440.8924,166.60794,478.05698,197.7388,-1.67,38.09,clone
000024.png,car,434.7361,165.1825,457.32257,182.25606,-1.65,52.01,clone
000025.png,car,903.66565,234.46765,1241.4293,371.17938,-2.1,3.14,clone
000025.png,car,353.27298,185.49463,532.6962,306.52078,-1.29,10.42,clone
