filename,class,xmin,ymin,xmax,ymax,angle,zloc,weather,depth_y,depth_mean,depth_x,depth_min
000000.png,person,711.87683,151.95032,809.373,308.4902,-0.2,8.41,clone,206,1.3538221,740,0.92498666
000001.png,car,390.57785,181.78027,421.47256,200.2452,1.85,58.49,clone,199,8.203516,402,7.5988846
000002.png,car,655.7868,190.24402,698.4817,221.83864,-1.67,34.38,clone,215,5.2553186,688,4.330514
000003.png,car,612.1293,176.14651,729.6654,282.532,1.55,13.22,clone,223,2.5922263,714,1.6171542
000004.png,car,283.69547,184.47151,343.1472,211.07599,1.96,38.26,clone,205,5.243353,289,4.655178
000004.png,car,358.74567,181.2557,406.13916,204.68512,1.88,51.17,clone,197,7.2313995,388,6.3098063
000005.png,person,328.06546,180.47014,357.2239,236.74649,1.94,23.02,clone,208,3.081282,354,2.6354177
000006.png,car,553.0209,167.7775,573.42206,183.97064,-1.55,48.22,clone,182,5.3037024,553,3.8404472
000006.png,car,506.18176,169.65811,572.9722,209.95207,-1.21,31.73,clone,176,4.1331215,518,3.7203748
000006.png,car,31.719006,184.33838,228.39651,244.09059,0.15,19.72,clone,243,2.7419024,113,1.5764604
000006.png,car,326.07355,172.63194,401.40225,208.77815,2.05,38.44,clone,189,5.1118336,394,3.5024638
000007.png,car,558.3777,173.38986,614.9567,224.15308,-1.56,25.01,clone,211,3.6790214,607,3.0348904
000007.png,car,479.75247,179.88145,513.0293,203.44975,1.71,47.55,clone,194,6.817475,485,5.931833
000007.png,car,541.1984,175.152,565.8871,193.31273,1.64,60.52,clone,192,8.239437,564,3.6315882
000008.png,car,0.98451126,194.07695,391.80258,370.939,-0.69,3.68,clone,355,0.6459391,31,0.33878082
000008.png,car,343.83002,179.1238,622.1787,352.21268,2.04,7.86,clone,351,1.0498103,343,0.5486757
000008.png,car,948.33887,212.53288,1241.5376,371.23752,-1.84,6.15,clone,282,0.74192345,1235,0.5216255
000008.png,car,600.4715,178.31694,718.82056,258.36197,-1.33,14.44,clone,229,1.8840377,600,1.1520557
000008.png,car,739.9145,167.98279,791.4501,207.60918,1.74,33.2,clone,196,4.6511207,778,3.8826504
000009.png,car,599.0473,177.28009,656.06946,226.33041,-1.5,23.88,clone,225,3.3620436,606,2.9281387
000009.png,car,600.1066,176.74669,627.59467,191.2955,1.75,66.37,clone,190,4.1483436,622,3.160963
000009.png,car,573.60974,175.82076,599.1289,193.80046,1.78,68.25,clone,188,8.7376995,598,6.8675776
000010.png,car,1007.04346,202.5234,1241.9667,370.88535,-2.09,5.2,clone,364,0.92770517,1231,0.5142404
000010.png,car,365.20853,189.69221,542.3512,288.02002,1.95,11.8,clone,257,1.8979653,415,1.2764009
000010.png,car,821.92957,182.23482,927.4956,253.86276,-1.78,16.5,clone,195,2.1469853,907,1.8188074
000010.png,car,811.4646,179.45934,863.52386,240.96608,-1.69,22.05,clone,224,2.2032313,856,1.8830028
000010.png,car,559.33203,178.31271,636.3998,225.54123,1.8,23.64,clone,132,3.3394465,966,2.8199015
000010.png,car,614.3595,179.16777,645.3167,216.89885,1.77,29.07,clone,215,3.4511657,614,2.879824
000010.png,car,797.7956,175.67975,847.2887,226.29889,-1.67,28.53,clone,220,2.6788113,846,1.8866674
000010.png,car,663.16113,174.85712,706.16486,202.40251,1.92,42.85,clone,201,6.0296707,663,5.0202827
000011.png,person,880.35333,153.69232,931.042,254.54655,0.3,12.42,clone,251,1.9977521,887,0.96019685
000011.png,car,443.16293,169.79277,508.0763,225.07957,1.74,26.64,clone,224,3.7605987,507,2.9984133
000011.png,person,648.84296,172.01851,664.4614,205.60307,-0.39,34.08,clone,184,4.5008926,652,3.9348924
000011.png,car,0.09725556,252.54005,82.565926,373.2488,2.42,4.13,clone,372,0.82342565,0,0.5785767
000011.png,person,240.31467,193.86662,271.00034,255.65332,2.02,15.95,clone,207,2.042999,261,1.9027159
000012.png,car,662.4205,184.66377,689.6649,204.05792,-1.84,58.84,clone,201,8.109651,685,7.377844
000013.png,car,455.7235,184.50987,531.97906,245.67514,1.74,20.13,clone,234,3.068396,473,2.302809
