filename,class,xmin,ymin,xmax,ymax,angle,zloc,weather,depth_x,depth_y,depth_mean,depth_min,depth_median,depth_max,depth_mean_trim
000000.png,person,711.87683,151.95032,809.373,308.4902,-0.2,8.41,clone,740,206,1.3538523,0.9249813,1.1881415,3.0253115,1.2581096
000001.png,car,390.57785,181.78027,421.47256,200.2452,1.85,58.49,clone,402,199,8.203781,7.5990615,8.0427885,9.251301,8.120802
000002.png,car,655.7868,190.24402,698.4817,221.83864,-1.67,34.38,clone,688,215,5.2554445,4.3308053,4.7402153,9.392394,4.779619
000003.png,car,612.1293,176.14651,729.6654,282.532,1.55,13.22,clone,714,223,2.5922892,1.6171887,1.7729135,9.068852,1.8949692
000004.png,car,283.69547,184.47151,343.1472,211.07599,1.96,38.26,clone,289,205,5.2433095,4.655009,5.002338,7.5948887,5.023374
000004.png,car,358.74567,181.2557,406.13916,204.68512,1.88,51.17,clone,388,197,7.2315035,6.3102136,7.082381,8.649185,7.1772842
000005.png,person,328.06546,180.47014,357.2239,236.74649,1.94,23.02,clone,354,208,3.0811605,2.6356368,2.9291606,6.295885,2.9473443
000006.png,car,506.18176,169.65811,572.9722,209.95207,-1.21,31.73,clone,518,176,4.1332526,3.7205718,3.8879175,8.912095,3.9031796
000006.png,car,31.719006,184.33838,228.39651,244.09059,0.15,19.72,clone,113,243,2.741959,1.5764732,2.4174976,5.802573,2.4622552
000006.png,car,326.07355,172.63194,401.40225,208.77815,2.05,38.44,clone,394,189,5.1118097,3.5025508,5.049486,7.2680607,5.1291094
000007.png,car,558.3777,173.38986,614.9567,224.15308,-1.56,25.01,clone,607,211,3.679151,3.0348828,3.2119951,9.413227,3.2394655
000007.png,car,479.75247,179.88145,513.0293,203.44975,1.71,47.55,clone,485,194,6.8182387,5.932896,6.2527742,9.720423,6.4234476
000007.png,car,541.1984,175.152,565.8871,193.31273,1.64,60.52,clone,564,192,8.541446,7.8479295,8.222492,9.63593,8.2923
000008.png,car,0.98451126,194.07695,391.80258,370.939,-0.69,3.68,clone,31,355,0.6459618,0.33878112,0.49898863,2.1717286,0.5216216
000008.png,car,343.83002,179.1238,622.1787,352.21268,2.04,7.86,clone,343,351,1.0634973,0.7753276,0.9301321,2.677968,0.94336563
000008.png,car,948.33887,212.53288,1241.5376,371.23752,-1.84,6.15,clone,1235,282,0.7419419,0.52158916,0.6293733,3.5369172,0.6426196
000008.png,car,600.4715,178.31694,718.82056,258.36197,-1.33,14.44,clone,600,229,1.9270123,1.6292566,1.722544,5.198633,1.7268384
000008.png,car,739.9145,167.98279,791.4501,207.60918,1.74,33.2,clone,778,196,4.6511173,3.8826797,4.246662,7.677045,4.2905326
000009.png,car,599.0473,177.28009,656.06946,226.33041,-1.5,23.88,clone,606,225,3.362163,2.9281013,3.0618448,9.607493,3.1059515
000009.png,car,573.60974,175.82076,599.1289,193.80046,1.78,68.25,clone,598,188,8.7379,6.868423,8.687227,9.698826,8.771149
000010.png,car,1007.04346,202.5234,1241.9667,370.88535,-2.09,5.2,clone,1231,364,0.9277275,0.5142483,0.7298706,3.000761,0.7343308
000010.png,car,365.20853,189.69221,542.3512,288.02002,1.95,11.8,clone,415,257,1.8979868,1.2764287,1.4606948,9.314571,1.4648372
000010.png,car,821.92957,182.23482,927.4956,253.86276,-1.78,16.5,clone,907,195,2.1470654,1.8189483,1.9463079,7.0502234,1.9605898
000010.png,car,559.33203,178.31271,636.3998,225.54123,1.8,23.64,clone,592,216,3.339498,2.81997,3.0216124,8.436401,3.054252
000010.png,car,797.7956,175.67975,847.2887,226.29889,-1.67,28.53,clone,846,220,3.3773823,2.607385,2.5215774,6.131651,2.5541854
000010.png,car,663.16113,174.85712,706.16486,202.40251,1.92,42.85,clone,663,201,6.030166,5.0203986,5.6481686,8.749881,5.7340403
000011.png,person,880.35333,153.69232,931.042,254.54655,0.3,12.42,clone,887,251,1.997834,0.9602274,1.5432062,4.294283,1.6938527
000011.png,car,443.16293,169.79277,508.0763,225.07957,1.74,26.64,clone,507,224,3.7607267,2.9984686,3.181769,8.738309,3.219101
000011.png,person,648.84296,172.01851,664.4614,205.60307,-0.39,34.08,clone,652,184,4.5011463,3.9351938,4.24514,8.895549,4.2601156
000011.png,car,0.09725556,252.54005,82.565926,373.2488,2.42,4.13,clone,0,372,0.8234581,0.5786115,0.68173814,1.5326631,0.7028278
000011.png,person,240.31467,193.86662,271.00034,255.65332,2.02,15.95,clone,261,207,2.0430655,1.9028958,1.9945433,2.510739,2.0040193
000012.png,car,662.4205,184.66377,689.6649,204.05792,-1.84,58.84,clone,685,201,8.109455,7.37804,7.916251,9.700661,7.9790297
000013.png,car,455.7235,184.50987,531.97906,245.67514,1.74,20.13,clone,473,234,3.068565,2.3027768,2.4721012,9.13698,2.500659
000014.png,car,626.49963,177.24486,652.09674,194.02434,1.73,59.81,clone,631,193,7.750911,7.1792746,7.5824866,9.674117,7.6310606
000015.png,car,1.4820094,204.33633,403.36792,371.33084,2.29,4.1,clone,125,370,0.6794609,0.45866096,0.6020156,2.216353,0.6091347
000015.png,person,1012.37744,147.88371,1100.4807,307.0551,0.71,7.59,clone,1053,305,1.1293495,0.55198437,1.053392,1.5921004,1.1300765
000015.png,person,666.19464,172.50061,683.3594,220.41449,-1.58,24.14,clone,679,218,4.726435,3.3695834,3.6894674,9.693208,3.9827516
000015.png,person,543.5572,178.61287,558.71564,216.97372,-1.46,23.3,clone,551,212,4.2579513,3.4788005,4.1366205,6.555296,4.1829987
000016.png,truck,122.42526,96.02646,471.0542,222.77164,2.11,26.41,clone,265,217,3.0186481,2.0923302,2.7428832,7.616773,2.7968466
000016.png,car,0.7992352,200.19957,379.09332,371.25357,-0.72,6.05,clone,0,334,0.9430841,0.5469691,0.7353335,7.074182,0.738985
000017.png,car,729.6649,173.46208,788.5742,197.62407,-2.23,47.16,clone,756,188,7.00059,6.175719,6.7212915,8.854349,6.82869
000018.png,car,521.4966,192.42976,549.222,215.9113,-1.59,47.02,clone,534,199,6.2736416,5.8289313,6.025318,8.8048935,6.072199
000019.png,truck,1.1240743,25.777414,423.9183,371.8459,2.07,5.46,clone,220,34,0.75873834,0.34708926,0.60912406,8.487498,0.62567616
000019.png,car,748.0116,184.87988,936.30023,308.32635,-1.81,9.72,clone,922,234,1.298436,0.98359805,1.1199839,3.8902314,1.1363827
000019.png,car,627.6192,170.3766,684.79596,215.04683,-1.64,35.34,clone,683,214,5.261678,4.0727735,4.4470797,9.509015,4.752795
000019.png,car,546.3456,182.40796,576.4696,203.62025,-1.48,59.59,clone,554,201,8.306965,7.7101135,8.076763,9.735171,8.188347
000020.png,car,680.56433,180.88687,800.57166,260.18295,-1.77,15.58,clone,795,208,2.2001932,1.6947494,1.8380272,6.0566893,1.8512777
000021.png,car,363.50256,179.42657,513.7782,268.65427,1.9,13.3,clone,405,253,1.7617332,1.520631,1.7122145,2.594196,1.7130259
000021.png,car,467.5105,164.49544,556.2716,240.92184,1.82,17.6,clone,467,236,2.5759947,2.038471,2.2142498,6.1727915,2.1740875
000021.png,car,723.83673,170.71045,787.55347,213.1066,-1.72,25.97,clone,784,191,3.442898,3.0597866,3.3270352,5.2695208,3.342051
000021.png,car,545.7092,171.38435,590.0602,214.62111,1.74,26.83,clone,545,203,3.5128453,3.2667642,3.4217951,4.944951,3.4435756
000021.png,car,704.23175,161.08571,759.1504,205.76886,-1.69,32.13,clone,758,199,5.4617505,3.7770958,3.903016,9.590784,3.963995
000021.png,car,560.29987,167.58615,600.9946,201.53812,1.69,31.78,clone,576,200,4.3109303,3.6323473,3.661228,6.8624516,3.6983392
000022.png,car,130.36061,196.42032,218.07506,234.42279,-1.11,31.72,clone,138,232,3.9144268,2.4793446,3.5522223,8.281125,3.6334083
000022.png,car,91.30881,188.78351,148.0574,220.68489,-1.04,31.61,clone,118,219,5.1393003,3.3482163,4.171731,8.59186,4.763831
000023.png,car,377.254,182.41711,410.02402,202.29831,1.86,55.08,clone,391,201,7.8839135,7.3844495,7.735586,9.088569,7.792718
000024.png,car,514.97394,165.56886,561.4559,199.145,-1.73,36.37,clone,536,189,5.0129013,4.4884176,4.7012577,9.223471,4.71494
000024.png,car,440.8924,166.60794,478.05698,197.7388,-1.67,38.09,clone,452,183,5.0713286,4.5638976,4.8096743,9.421894,4.842499
000024.png,car,434.7361,165.1825,457.32257,182.25606,-1.65,52.01,clone,452,181,6.7052903,5.973565,5.9091,7.0779243,5.876575
000025.png,car,903.66565,234.46765,1241.4293,371.17938,-2.1,3.14,clone,1239,281,0.6634572,0.30872962,0.46055275,1.819112,0.51260394
000025.png,car,353.27298,185.49463,532.6962,306.52078,-1.29,10.42,clone,435,242,1.3818716,1.122321,1.2143734,4.6992364,1.2247442
000025.png,car,563.8539,172.46048,618.1617,216.3053,1.75,30.18,clone,604,204,4.2666845,3.5294924,3.804535,7.944727,3.8486633
000025.png,car,730.2709,182.29544,802.8209,250.15305,-1.69,17.48,clone,795,210,2.347527,2.0754776,2.1709843,5.754188,2.1785028
000026.png,truck,632.1366,153.94843,696.9333,209.39552,1.8,37.22,clone,695,208,4.7603564,3.9014304,4.500183,7.378091,4.522439
000026.png,car,554.4439,177.11569,577.9944,191.55789,-1.67,68.34,clone,576,190,9.103429,8.544554,9.094479,9.631638,9.09971
000027.png,car,589.04034,181.65076,601.90216,193.64644,-1.58,73.46,clone,590,192,9.557924,9.232914,9.588812,9.712588,9.58075
