filename,class,xmin,ymin,xmax,ymax,angle,zloc,weather,iou,depth_y,depth_min,depth_mean,depth_x,depth_median,depth_max,depth_mean_trim,width,height
005384.png,car,581.7115,179.19145,621.03656,212.26126,-1.56,33.26,clone,0.7769234924759963,199,4.239047,4.691768,606,4.5318575,8.876882,4.526938,39.32506000000001,33.06980999999999
005495.png,car,447.54636,173.01007,481.24084,196.2778,1.65,44.06,clone,0.877885803204047,191,5.325391,5.733757,456,5.5155497,8.817994,5.5391726,33.69448,23.26773
002749.png,train,136.9399,139.33594,391.0573,217.69595,1.89,48.93,clone,0.9284149196797872,216,2.0734172,5.415189,317,5.060123,9.275453,5.1648974,254.1174,78.36001000000002
000763.png,car,877.2644,160.64854,930.9348,186.09299,3.02,53.0,clone,0.7804071403271512,160,5.3774657,6.7004895,881,6.458336,8.467975,6.529053,53.67039999999997,25.44444999999999
003603.png,car,702.16644,181.38843,811.5515,254.66205,-1.78,15.6,clone,0.8842293564061494,207,1.8519422,2.079746,808,1.9983137,3.1034274,2.007058,109.38506000000007,73.27362
004467.png,car,515.6341,186.14548,553.47705,219.8622,1.69,35.56,clone,0.8479729382615246,218,4.1620398,4.7886896,515,4.584752,7.53658,4.6064944,37.84294999999997,33.71672000000001
005672.png,car,462.74118,161.5099,526.2847,234.47801,1.79,17.76,clone,0.5078165552302697,208,1.8297585,2.2982857,462,2.0533195,4.9105577,2.0624352,63.54352000000006,72.96811000000002
001096.png,car,818.9219,215.01884,1237.992,371.32855,1.13,6.08,clone,0.9339908173429328,370,0.5496376,0.82044667,1099,0.7994299,2.7676558,0.78577584,419.0700999999999,156.30971
001688.png,car,585.9732,174.84967,625.8076,209.0802,-1.56,33.44,clone,0.830444897124975,199,4.2821817,4.8250113,611,4.47703,9.7882185,4.5125623,39.83439999999996,34.23052999999999
006881.png,car,877.2956,179.03557,959.9411,236.81644,-1.71,20.77,clone,0.9095109576962974,221,2.435336,2.9565566,938,2.605672,6.718183,2.630171,82.64549999999997,57.78086999999999
002060.png,car,563.83856,178.4873,628.17957,224.62868,-1.53,23.69,clone,0.8304227080238837,206,2.983194,3.510232,567,3.1393356,9.197332,3.1613078,64.34100999999998,46.14138
006018.png,car,873.9754,160.04768,920.43854,181.23187,-0.8,54.65,clone,0.6492568466897294,175,5.691094,6.8203692,883,6.4619308,8.266831,6.385291,46.46313999999995,21.184189999999973
000684.png,car,347.1533,191.90683,438.0069,247.85672,1.88,19.51,clone,0.8016113966993877,232,2.187407,2.800823,347,2.494123,7.0192595,2.5041926,90.85359999999997,55.94988999999998
005840.png,person,804.93726,155.80952,860.1871,307.6323,-0.3,8.5,clone,0.8912823952384944,172,1.0519404,1.8478199,859,1.1248193,7.7428303,1.1705378,55.24983999999995,151.82278
002450.png,car,394.9323,170.92288,473.31238,206.26706,-2.9,25.86,clone,0.5443673704290678,205,2.8848844,3.3986657,394,2.8148081,7.664351,2.8411553,78.38008000000002,35.344179999999994
007176.png,car,625.51465,179.05148,667.59924,211.17981,-1.58,30.47,clone,0.7230084804740108,199,3.4965146,4.114675,656,3.7894697,9.247511,3.8131886,42.08459000000005,32.128330000000005
007239.png,car,553.8592,181.28142,571.9314,197.49017,1.62,55.75,clone,0.6338251271382384,190,7.4472556,7.808932,558,7.711834,8.610527,7.7505193,18.072200000000066,16.20875000000001
005459.png,car,564.4419,170.07501,586.3873,187.88058,-1.4,59.15,clone,0.7989334611339015,186,6.1376786,7.6946716,564,7.571275,8.797576,7.532009,21.94539999999995,17.805570000000017
005746.png,person,430.367,159.81631,514.85785,367.82635,1.75,5.48,clone,0.9285424185553902,259,0.66889304,0.9273133,431,0.74998367,2.0425074,0.7783066,84.49084999999997,208.01004
003113.png,car,963.6596,166.38474,1051.9607,197.36029,2.31,34.23,clone,0.8675771878287853,184,3.7262657,5.024041,1036,4.7452393,8.445265,4.671992,88.30110000000013,30.97555
006542.png,car,410.24472,170.68494,489.1846,198.64261,3.04,48.08,clone,0.7826816915960708,195,3.755673,6.125401,410,5.76719,9.421637,5.8736644,78.93988000000002,27.95766999999998
002966.png,person,601.48444,168.54381,618.2752,218.17247,-1.65,23.92,clone,0.7779841710240638,192,2.3322527,3.312705,617,2.9482055,6.782694,2.961487,16.79076000000009,49.628659999999996
000338.png,car,655.83954,177.01009,676.3361,198.50404,-1.61,46.43,clone,0.721851735710781,197,4.3133187,5.3234043,675,4.7458434,6.8180842,4.8363476,20.49655999999993,21.493950000000012
003695.png,car,508.80188,176.6113,549.2831,193.56065,1.95,62.06,clone,0.7647366305347503,189,6.9092093,7.97526,548,7.955407,8.978398,7.941162,40.48122000000001,16.94935000000001
000785.png,car,201.55434,193.208,483.27292,369.90524,-1.27,7.33,clone,0.9156510254406875,355,0.40897617,1.017888,204,0.7902802,5.897965,0.82758105,281.71858,176.69724
000809.png,car,510.26706,168.71167,563.1313,210.5949,-1.53,31.36,clone,0.7220427666388057,195,3.5931172,4.5897245,542,3.8791142,7.840744,4.260713,52.864239999999995,41.88323
003409.png,car,779.7769,156.59079,856.344,192.52519,2.85,30.42,clone,0.5942218757940925,167,1.2241931,4.0936055,850,4.24127,6.122399,4.260366,76.5671000000001,35.93440000000001
005983.png,car,430.8844,174.86879,503.75946,210.08064,0.9,30.96,clone,0.7310138678500684,199,3.3443913,4.435549,495,3.8182268,8.469246,3.646869,72.87505999999996,35.21185
003463.png,car,142.52596,188.38297,213.3691,213.49796,-1.1,36.26,clone,0.5127647586099,199,1.3307925,4.8973823,167,5.0823545,8.687489,5.037955,70.84314,25.114990000000006
004462.png,car,295.62985,176.7784,440.15817,241.41652,0.41,18.2,clone,0.736019384268949,228,1.697561,2.4206684,295,2.222456,4.5264063,2.200659,144.52832,64.63811999999999
005251.png,car,646.5311,173.94765,692.7209,211.66313,-1.7,29.55,clone,0.6363817956772109,204,2.301261,3.6620672,691,3.5552697,7.986558,3.5259295,46.18979999999999,37.715479999999985
000889.png,person,167.14485,164.14444,244.98761,367.7148,2.12,6.25,clone,0.6759346027436082,174,0.69586647,1.1336045,203,0.87614685,5.1297994,0.88730276,77.84276,203.57036000000002
003208.png,car,946.9309,167.7024,1093.4834,225.1787,-0.38,17.62,clone,0.6328151814013021,171,1.1132205,2.105687,1092,2.2254298,2.9972308,2.1989691,146.55250000000012,57.47629999999998
001150.png,car,968.8067,212.76566,1241.4792,371.28415,-2.31,3.57,clone,0.8450447204480047,370,0.3833894,0.71943027,1240,0.58260155,1.9982102,0.6116342,272.6725,158.51849
006758.png,car,872.7354,167.2419,945.36926,210.32927,-1.3,25.62,clone,0.8145661437066274,209,3.0604436,3.586845,912,3.1287153,5.0454154,3.0881803,72.63386000000003,43.08737000000002
006224.png,car,376.70953,175.997,465.52536,226.8392,0.96,22.35,clone,0.6775135668687899,225,1.9988021,3.608713,376,3.0309913,9.356969,3.1367586,88.81583,50.84219999999999
007208.png,car,86.60893,184.59953,375.979,298.40942,0.56,10.37,clone,0.9011774299590464,287,0.72070813,1.258694,109,1.2212484,3.8607633,1.1341507,289.37007,113.80989000000002
003759.png,person,533.9333,176.11494,546.4586,212.29405,-2.03,30.66,clone,0.6576795167549688,182,3.9312968,4.4234934,545,4.144416,7.4994507,4.2049913,12.525300000000016,36.17911000000001
004625.png,car,580.172,179.63214,620.5617,214.3263,-1.56,34.0,clone,0.821144485122664,204,4.310183,4.899901,609,4.627338,9.114501,4.6313787,40.38969999999995,34.69416000000001
005138.png,car,284.69244,177.83939,478.7703,305.75906,-1.29,10.82,clone,0.9171618544686636,183,1.0687199,1.8185177,389,1.2507687,9.28394,1.2772274,194.07786000000004,127.91966999999997
002986.png,car,566.98846,177.50946,622.75104,208.94124,1.93,37.56,clone,0.8574418057451529,203,4.5473695,5.696607,566,5.1135283,9.368209,5.2353787,55.76257999999996,31.431780000000003
006437.png,car,530.8145,182.2903,558.24744,204.36774,-1.51,45.83,clone,0.7436874737121844,201,5.8630075,6.281716,556,6.113682,9.046139,6.1452017,27.43294000000003,22.077439999999996
000275.png,car,809.59814,155.46751,1061.2867,299.25034,-1.1,9.27,clone,0.813465066829202,292,1.0523938,1.4382001,1060,1.1274388,6.282978,1.136573,251.68856000000017,143.78283
002691.png,car,408.99326,173.70943,490.1071,202.71832,0.91,28.0,clone,0.5533700653274091,201,3.208664,4.6968107,473,4.0463037,8.838631,4.132949,81.11383999999998,29.008890000000008
001042.png,car,657.36414,176.80602,684.68915,195.0341,1.84,60.94,clone,0.8102520632204955,194,7.941958,8.8652,683,8.889854,9.707583,8.861219,27.32501000000002,18.228080000000006
006172.png,Misc,842.67737,187.92915,993.0197,277.5371,-0.4,10.18,clone,0.689481848728108,276,1.2854359,1.8181428,992,1.3495333,3.1863992,1.3669828,150.34232999999995,89.60795000000002
000762.png,car,330.22095,183.58055,471.3699,265.5583,1.84,14.55,clone,0.9058052263642776,249,1.6247036,2.6057844,399,1.851773,9.872645,1.8649107,141.14894999999996,81.97774999999999
003688.png,person,445.23404,183.6171,460.7674,237.06512,1.79,19.45,clone,0.5215619429328007,183,2.3387723,2.5359547,445,2.4957476,4.6362734,2.499678,15.533360000000016,53.448020000000014
007347.png,car,838.41125,151.12476,933.1427,183.04094,2.72,35.1,clone,0.7083066213550112,182,1.340012,5.4836283,926,5.604296,7.974481,5.564709,94.73145,31.916179999999997
