filename,class,xmin,ymin,xmax,ymax,angle,zloc,weather,depth_y,depth_x,depth_mean,depth_min,depth_median,depth_max,depth_mean_trim,width,height
000000.png,person,711.87683,151.95032,809.373,308.4902,-0.2,8.41,clone,206,740,1.3538523,0.9249813,1.1881415,3.0253115,1.2581096,97.49617,156.53988
000001.png,car,390.57785,181.78027,421.47256,200.2452,1.85,58.49,clone,199,402,8.203781,7.5990615,8.0427885,9.251301,8.120802,30.894709999999975,18.46493000000001
000002.png,car,655.7868,190.24402,698.4817,221.83864,-1.67,34.38,clone,215,688,5.2554445,4.3308053,4.7402153,9.392394,4.779619,42.694900000000075,31.594619999999992
000003.png,car,612.1293,176.14651,729.6654,282.532,1.55,13.22,clone,223,714,2.5922892,1.6171887,1.7729135,9.068852,1.8949692,117.53610000000003,106.38548999999998
000004.png,car,283.69547,184.47151,343.1472,211.07599,1.96,38.26,clone,205,289,5.2433095,4.655009,5.002338,7.5948887,5.023374,59.45173,26.604479999999995
000004.png,car,358.74567,181.2557,406.13916,204.68512,1.88,51.17,clone,197,388,7.2315035,6.3102136,7.082381,8.649185,7.1772842,47.393489999999986,23.42942000000002
000005.png,person,328.06546,180.47014,357.2239,236.74649,1.94,23.02,clone,208,354,3.0811605,2.6356368,2.9291606,6.295885,2.9473443,29.15844000000004,56.27635000000001
000006.png,car,506.18176,169.65811,572.9722,209.95207,-1.21,31.73,clone,176,518,4.1332526,3.7205718,3.8879175,8.912095,3.9031796,66.79044000000005,40.29396
000006.png,car,31.719006,184.33838,228.39651,244.09059,0.15,19.72,clone,243,113,2.741959,1.5764732,2.4174976,5.802573,2.4622552,196.677504,59.75220999999999
000006.png,car,326.07355,172.63194,401.40225,208.77815,2.05,38.44,clone,189,394,5.1118097,3.5025508,5.049486,7.2680607,5.1291094,75.32869999999997,36.146210000000025
000007.png,car,558.3777,173.38986,614.9567,224.15308,-1.56,25.01,clone,211,607,3.679151,3.0348828,3.2119951,9.413227,3.2394655,56.57899999999995,50.76321999999999
000007.png,car,479.75247,179.88145,513.0293,203.44975,1.71,47.55,clone,194,485,6.8182387,5.932896,6.2527742,9.720423,6.4234476,33.27683000000002,23.568299999999994
000007.png,car,541.1984,175.152,565.8871,193.31273,1.64,60.52,clone,192,564,8.541446,7.8479295,8.222492,9.63593,8.2923,24.68870000000004,18.16073
000008.png,car,0.98451126,194.07695,391.80258,370.939,-0.69,3.68,clone,355,31,0.6459618,0.33878112,0.49898863,2.1717286,0.5216216,390.81806874,176.86205
000008.png,car,343.83002,179.1238,622.1787,352.21268,2.04,7.86,clone,351,343,1.0634973,0.7753276,0.9301321,2.677968,0.94336563,278.34868000000006,173.08888
000008.png,car,948.33887,212.53288,1241.5376,371.23752,-1.84,6.15,clone,282,1235,0.7419419,0.52158916,0.6293733,3.5369172,0.6426196,293.19873000000007,158.70464
000008.png,car,600.4715,178.31694,718.82056,258.36197,-1.33,14.44,clone,229,600,1.9270123,1.6292566,1.722544,5.198633,1.7268384,118.34906000000001,80.04503
000008.png,car,739.9145,167.98279,791.4501,207.60918,1.74,33.2,clone,196,778,4.6511173,3.8826797,4.246662,7.677045,4.2905326,51.535600000000045,39.626390000000015
000009.png,car,599.0473,177.28009,656.06946,226.33041,-1.5,23.88,clone,225,606,3.362163,2.9281013,3.0618448,9.607493,3.1059515,57.0221600000001,49.05032
000009.png,car,573.60974,175.82076,599.1289,193.80046,1.78,68.25,clone,188,598,8.7379,6.868423,8.687227,9.698826,8.771149,25.519160000000056,17.97969999999998
000010.png,car,1007.04346,202.5234,1241.9667,370.88535,-2.09,5.2,clone,364,1231,0.9277275,0.5142483,0.7298706,3.000761,0.7343308,234.92323999999996,168.36195
000010.png,car,365.20853,189.69221,542.3512,288.02002,1.95,11.8,clone,257,415,1.8979868,1.2764287,1.4606948,9.314571,1.4648372,177.14266999999995,98.32781
000010.png,car,821.92957,182.23482,927.4956,253.86276,-1.78,16.5,clone,195,907,2.1470654,1.8189483,1.9463079,7.0502234,1.9605898,105.56602999999996,71.62794
000010.png,car,559.33203,178.31271,636.3998,225.54123,1.8,23.64,clone,216,592,3.339498,2.81997,3.0216124,8.436401,3.054252,77.06777,47.22852
000010.png,car,797.7956,175.67975,847.2887,226.29889,-1.67,28.53,clone,220,846,3.3773823,2.607385,2.5215774,6.131651,2.5541854,49.49309999999991,50.61913999999999
000010.png,car,663.16113,174.85712,706.16486,202.40251,1.92,42.85,clone,201,663,6.030166,5.0203986,5.6481686,8.749881,5.7340403,43.00373000000002,27.545389999999998
000011.png,person,880.35333,153.69232,931.042,254.54655,0.3,12.42,clone,251,887,1.997834,0.9602274,1.5432062,4.294283,1.6938527,50.68867,100.85423
000011.png,car,443.16293,169.79277,508.0763,225.07957,1.74,26.64,clone,224,507,3.7607267,2.9984686,3.181769,8.738309,3.219101,64.91336999999999,55.2868
000011.png,person,648.84296,172.01851,664.4614,205.60307,-0.39,34.08,clone,184,652,4.5011463,3.9351938,4.24514,8.895549,4.2601156,15.618440000000078,33.58456000000001
000011.png,car,0.09725556,252.54005,82.565926,373.2488,2.42,4.13,clone,372,0,0.8234581,0.5786115,0.68173814,1.5326631,0.7028278,82.46867044000001,120.70875000000001
000011.png,person,240.31467,193.86662,271.00034,255.65332,2.02,15.95,clone,207,261,2.0430655,1.9028958,1.9945433,2.510739,2.0040193,30.685669999999988,61.786699999999996
000012.png,car,662.4205,184.66377,689.6649,204.05792,-1.84,58.84,clone,201,685,8.109455,7.37804,7.916251,9.700661,7.9790297,27.24440000000004,19.394149999999996
000013.png,car,455.7235,184.50987,531.97906,245.67514,1.74,20.13,clone,234,473,3.068565,2.3027768,2.4721012,9.13698,2.500659,76.25556,61.16526999999999
