filename,class,xmin,ymin,xmax,ymax,angle,zloc,weather
scene1_rgb_00000.jpg,car,730.0,167.0,1207.0,374.0,-1.925707,6.406569,clone
scene1_rgb_00000.jpg,car,696.0,186.0,832.0,281.0,-1.757717,13.15864,clone
scene1_rgb_00000.jpg,car,677.0,185.0,749.0,246.0,-1.626971,19.29135,clone
scene1_rgb_00000.jpg,car,377.0,201.0,459.0,256.0,1.853136,23.76534,clone
scene1_rgb_00000.jpg,car,500.0,195.0,534.0,220.0,1.700254,46.44057,clone
scene1_rgb_00000.jpg,car,643.0,184.0,674.0,208.0,-1.624184,49.99795,clone
scene1_rgb_00000.jpg,car,514.0,195.0,545.0,216.0,1.706254,52.01393,clone
scene1_rgb_00000.jpg,car,532.0,189.0,559.0,212.0,1.67328,60.322,clone
scene1_rgb_00000.jpg,car,541.0,190.0,565.0,209.0,1.678409,66.95219,clone
scene1_rgb_00000.jpg,car,554.0,191.0,574.0,206.0,1.647921,77.81883,clone
scene1_rgb_00000.jpg,car,639.0,184.0,653.0,196.0,-1.606712,99.37626,clone
scene1_rgb_00000.jpg,car,672.0,180.0,709.0,194.0,-3.232004,92.23568,clone
scene1_rgb_00000.jpg,car,673.0,177.0,706.0,194.0,-3.226522,95.32778,clone
scene1_rgb_00000.jpg,car,577.0,188.0,591.0,200.0,-1.519118,103.7177,clone
scene1_rgb_00000.jpg,car,572.0,190.0,587.0,202.0,1.620468,92.65811,clone
scene1_rgb_00000.jpg,car,670.0,180.0,701.0,193.0,3.051374,101.5161,clone
scene1_rgb_00000.jpg,car,581.0,188.0,594.0,199.0,1.604256,115.0087,clone
scene1_rgb_00000.jpg,car,584.0,189.0,596.0,198.0,1.627094,120.5156,clone
scene1_rgb_00000.jpg,car,586.0,188.0,596.0,197.0,1.596025,125.3879,clone
scene1_rgb_00000.jpg,car,587.0,188.0,598.0,197.0,1.598225,131.379,clone
scene1_rgb_00000.jpg,car,666.0,181.0,689.0,191.0,3.060299,127.1695,clone
scene1_rgb_00000.jpg,car,668.0,180.0,684.0,191.0,3.038062,129.7702,clone
scene1_rgb_00000.jpg,car,664.0,181.0,683.0,191.0,3.043226,132.0816,clone
scene1_rgb_00000.jpg,car,762.0,172.0,793.0,186.0,-0.257709,107.8571,clone
